,name,cost,level,quantity,total_time,nb_of_ingredients,length_ingredients,beurre,oignon,oeuf,type
664,Papillote de poulet à la moutarde (recette de régime),1,1,2,35,10,198,0,Yes,0,Plat principal
665,Amour de saumon en papillote,1,2,4,50,9,188,0,No,0,Plat principal
667,Paupiettes de veau aux oignons et tomates,2,1,2,80,12,247,0,Yes,0,Plat principal
668,paupiettes de dinde,2,1,6,80,6,147,0,No,0,Plat principal
669,Paupiettes aux poivrons,1,1,3,55,9,154,0,Yes,0,Plat principal
670,Paupiettes à la mérignicaise,1,1,4,75,12,242,0,Yes,0,Plat principal
675,Bagels aux poivrons,1,1,2,5,5,103,0,No,0,Plat principal
676,Quiche basquaise,2,1,6,55,11,214,0,Yes,3,Entrée
677,Tarte basquaise,2,1,4,55,11,212,0,Yes,0,Plat principal
678,Poulet Basquaise,1,1,6,55,12,173,0,Yes,0,Plat principal
679,Calamars à la basquaise,1,3,6,80,13,312,0,Yes,0,Plat principal
680,Thon basquaise,2,2,4,45,12,286,0,Yes,0,Plat principal
685,Tajine de poulet,2,1,4,90,10,194,0,Yes,0,Plat principal
686,Potage au potiron,1,1,6,45,8,119,0,Yes,0,Entrée
687,Potage à la citrouille,1,1,2,45,6,178,1,No,0,Entrée
689,Potage à la moutarde,1,1,4,30,13,343,0,No,0,Entrée
690,Potage de légumes,1,1,4,75,11,218,40,Yes,1,Entrée
691,Breizh profiteroles,3,2,8,90,11,241,120,No,5,Dessert
692,Profiteroles maison,2,1,20,50,9,184,60,No,4,Dessert
693,Profiteroles au Thermomix,3,1,10,65,8,180,80,No,3,Dessert
694,Profiteroles au caramel,3,1,4,55,10,208,60,No,2,Dessert
695,Profiteroles express,1,1,5,15,6,129,40,No,0,Dessert
697,Quiche tatin,1,1,6,45,9,198,0,No,3,Entrée
698,Quiche lorraine,1,1,4,60,9,174,30,No,3,Plat principal
700,Quiche provençale,2,1,6,75,12,236,0,Yes,3,Entrée
701,Les Antipasti de Micheline,2,1,15,120,17,415,0,Yes,0,Accompagnement
702,Gâteau à la confiture façon micheline,2,1,6,50,10,257,125,No,4,Dessert
703,Oeufs à la neige de Micheline,2,1,4,40,7,174,0,No,4,Dessert
704,Brioche de Micheline (26ème rencontre),2,1,6,35,7,150,125,No,4,Dessert
705,Tarte à la rhubarbe façon Micheline,1,1,6,60,7,157,0,No,3,Dessert
706,Raclette rapide,1,1,1,20,1,26,0,No,0,Plat principal
707,Raclette,1,1,4,40,9,181,0,No,0,Plat principal
708,Raclette d'été,2,2,4,25,8,190,0,No,0,Plat principal
709,Cake 'lendemain de raclette',2,2,6,60,11,271,0,No,2,Entrée
710,Chaussons de raclette,2,1,6,38,6,160,0,No,1,Amuse-gueule
711,Ratatouille facile et rapide,1,1,4,30,9,183,0,Yes,0,Accompagnement
715,Rillettes de faisan,2,1,8,315,10,221,0,Yes,0,Entrée
716,Risotto tout simple,1,1,4,35,8,186,0,No,50,Plat principal
717,Risotto d'été,1,2,6,45,8,157,0,No,0,Plat principal
727,Rôti de porc au miel et aux pommes,1,1,4,75,8,159,0,No,0,Plat principal
728,Velouté de Butternut et lentilles vertes,2,1,3,45,11,210,1,Yes,0,Entrée
729,Bricks à la viande et moutarde,1,1,12,20,11,301,1,Yes,2,Amuse-gueule
730,Samossas de légumes,2,2,8,60,12,334,0,Yes,0,Entrée
731,Bricks au thon,1,1,2,15,5,116,0,Yes,1,Entrée
734,Rougail saucisse,1,1,4,40,11,194,0,Yes,0,Plat principal
736,Pommes de terres sautées,1,1,4,20,5,85,0,No,0,Accompagnement
737,Sauté de dinde au paprika,1,1,4,30,8,161,0,Yes,0,Plat principal
738,Sauté de porc au cidre,1,1,6,75,7,157,0,Yes,0,Plat principal
739,Sauté de veau de Lisbonne,2,2,3,75,11,265,0,Yes,0,Plat principal
740,"Cuisses de poulet aux carottes, pommes de terre, cumin (sauteuse)",2,1,2,40,7,132,0,Yes,0,Plat principal
745,Poêlée de concombres,1,1,3,45,9,142,0,No,0,Accompagnement
746,Salade de pastèque aux épices,1,1,4,15,5,117,0,No,0,Dessert
747,Steak tartare à la coréenne,1,1,1,10,8,202,0,No,1,Plat principal
748,Mousse au chocolat en poudre,2,2,4,15,6,182,0,No,6,Dessert
749,Mousse Toblerone / chocolat blanc,2,1,6,20,7,170,80,No,6,Dessert
750,Steaks végétariens,1,1,2,30,14,248,0,Yes,1,Plat principal
751,Le vrai taboulé libanais,2,1,5,25,8,195,0,Yes,0,Entrée
752,Maamouls (Liban),2,3,50,200,9,222,200,No,0,Dessert
753,Knafé (Liban),2,1,6,65,7,142,0,No,0,Dessert
754,Chinklich (Liban),2,1,3,45,5,131,0,No,0,Entrée
755,Tagliatelles au saumon frais,1,2,5,60,8,179,1,No,0,Plat principal
756,Tagliatelles carbonara 'spéciales',1,1,2,30,10,217,0,Yes,2,Plat principal
757,Tagliatelles aux Noix de saint Jacques,1,1,2,20,8,166,0,No,0,Plat principal
758,Tagliatelles à la crème de poireaux,2,1,4,40,8,157,0,No,0,Plat principal
759,Tagliatelles de carottes,1,1,4,40,4,64,0,No,0,Accompagnement
765,Tarte bourdaloue (aux poires),2,1,6,50,8,206,125,No,2,Dessert
766,Gâteau aux poires bourdaloue,1,1,6,90,11,272,100,No,2,Dessert
767,Bourdaloue aux poires et chocolat,1,1,8,30,6,145,0,No,0,Dessert
768,La tarte bourdaloue SuperGourmande !,3,2,6,40,10,262,70,No,1,Dessert
769,Tarte Bourdaloue aux abricots,2,2,8,65,7,182,0,No,1,Dessert
770,Les chocolatines,1,1,25,20,4,106,50,No,0,Confiserie
771,Chocolatine aux noix,2,2,8,90,5,132,125,No,4,Dessert
772,La chocolatine de marie,3,2,4,75,10,230,20,No,5,Dessert
773,La chocolatine de Toinette,1,1,6,40,6,150,150,No,3,Dessert
774,Tartelettes de champignons,2,2,8,45,10,209,50,No,0,Entrée
775,Tartelettes au citron facile,1,1,6,60,5,95,50,No,3,Dessert
776,Tartelettes aux cèpes,1,1,6,35,6,120,0,No,0,Entrée
777,Tartelettes aux pêches,1,1,4,50,7,149,0,No,1,Dessert
778,Tartelettes amandine,1,1,8,50,6,132,73,No,3,Dessert
779,Tartiflette,2,2,6,50,7,176,0,Yes,0,Plat principal
780,tartiflette facile,2,2,4,105,6,137,25,Yes,0,Plat principal
782,Tiramisu rapide,1,1,6,15,6,129,0,No,6,Dessert
783,Tiramisu original,3,2,6,40,8,186,0,No,4,Dessert
784,Tiramisu facile,2,2,5,30,7,193,0,No,2,Dessert
785,Tiramisù,3,3,4,40,8,224,0,No,3,Dessert
786,Le trianon ou royal de Nadine,3,1,8,135,12,328,30,No,2,Dessert
787,Trianon Blanc,3,2,8,75,11,294,0,No,2,Dessert
788,Trianon au chocolat,2,1,8,40,11,302,40,No,2,Dessert
789,Trianon aux spéculoos,2,1,6,20,7,187,50,No,0,Dessert
794,Verrines très faciles,1,1,4,20,4,65,0,No,6,Plat principal
795,Verrines colorées,1,1,7,15,11,184,0,No,0,Entrée
